job_category,skills,field_of_study
Business Analyst,adaptability | analytical thinking | attention to detail | Communication | communication skills | critical thinking | Critical Thinking | customer service | Customer Service | leadership | Leadership | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | Presentation Skills | problem solving | Problem Solving | Process Improvement | Project Coordination | project coordination | Requirements Gathering | teamwork | Teamwork | time management | Time Management | UML | User Stories,Business Administration
Business Analyst,adaptability | analytical thinking | attention to detail | Communication | communication skills | critical thinking | Critical Thinking | customer service | Customer Service | Data Analysis | Functional Specification | leadership | Leadership | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | presentation skills | Presentation Skills | problem solving | Process Improvement | Project Coordination | project coordination | Stakeholder Management | teamwork | Teamwork | time management,Business Information Systems
Graphic Designer,Adobe Illustrator | Adobe InDesign | Adobe Photoshop | analytical thinking | Branding | color theory | Communication | Creative Thinking | Critical Thinking | Figma | Prototyping | Social Media Design | teamwork | Time Management | Typography | typography | Usability Testing | User Research,Graphic Design
Supply Chain Executive,a/b testing | A/B Testing | Big Data | big data | Classification | communication skills | critical thinking | customer service | Delivery Coordination | Demand Forecasting | etl | Logistics | Microsoft PowerPoint | Pandas | Power BI | Presentation Skills | Problem Solving | Procurement | Project Coordination | python | Shipping | Spark | spark | sql | statistical modelling | Supply Planning | Teamwork | Vendor Management,Supply Chain Management
Electrical Engineer,3D Modelling | analytical thinking | Circuit Design | Communication | communication skills | critical thinking | Electrical Design | hvac design | Instrumentation | leadership | Microsoft PowerPoint | microsoft powerpoint | microsoft word | multitasking | PLC | Power Systems | preventive maintenance | Project Coordination | project management | Quality Control | quality control | Safety Compliance | simulation software | teamwork | Teamwork | technical documentation | Technical Documentation | Time Management,Electrical Engineering
Digital Marketing Specialist,Adobe Photoshop | Brand Awareness | Brand Management | Campaign Management | Content Marketing | CRM | Email Marketing | Facebook Ads | Google Ads | Influencer Marketing | Instagram Marketing | Leadership | Market Research | Marketing Analytics | Microsoft PowerPoint | Microsoft Word | SEO | Social Media Marketing | Teamwork | Time Management,Marketing
Chemical Engineer,3d modelling | attention to detail | AutoCAD | Communication | critical thinking | Customer Service | Electrical Design | Leadership | Mechanical Design | Plant Operation | PLC | plc programming | presentation skills | Presentation Skills | Preventive Maintenance | problem solving | Problem Solving | Process Control | Process Design | Project Coordination | Project Management | Quality Control | Root Cause Analysis | Safety Compliance | safety compliance | simulation software | Technical Documentation | Time Management,Chemical Engineering
Civil Engineer,3D Modelling | autocad | AutoCAD | Bill of Quantities | Communication | communication skills | Concrete | Construction Management | electrical design | Electrical Design | Health and Safety | leadership | Leadership | Mechanical Design | Microsoft PowerPoint | microsoft powerpoint | Microsoft Word | PLC | Presentation Skills | Preventive Maintenance | Problem Solving | Project Coordination | Project Management | quality control | Root Cause Analysis | Simulation | Site Supervision | Structural Design | Technical Documentation | Time Management,Civil Engineering
DevOps Engineer,AWS | Azure | C++ | CI/CD | Critical Thinking | Debugging | Design Patterns | Git | Infrastructure as Code | Jenkins | kubernetes | Linux | Microsoft Word | MySQL | Node.js | postgresql | presentation skills | python | Teamwork | typescript,Information Technology
Hospitality & Tourism Executive,adaptability | Cashiering | clinical procedures | counselling | Critical Thinking | Customer Service | electronic medical records | Food and Beverage | Guest Service | infection control | medical terminology | medication administration | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Patient Care | Phlebotomy | presentation skills | Presentation Skills | Problem Solving | Project Coordination | teamwork | time management | vital signs monitoring | Vital Signs Monitoring | wound care,Business Administration
Data Scientist,Communication | Critical Thinking | Customer Service | Data Preprocessing | leadership | Leadership | Machine Learning | Microsoft PowerPoint | microsoft powerpoint | Microsoft Word | Pandas | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | Statistics | Teamwork | time management | Time Management,Artificial Intelligence
Supply Chain Executive,A/B Testing | Big Data | Classification | Clustering | Critical Thinking | Data Warehousing | Deep Learning | ERP | Inventory Management | Leadership | Logistics | Order Processing | Pandas | Power BI | Procurement | Project Coordination | PyTorch | Shipping | Teamwork | Time Management | Vendor Management | Warehouse Management,Logistics
Software Engineer,adaptability | Agile | agile | analytical thinking | attention to detail | c# | C++ | ci/cd pipeline | cloud deployment | Code Review | critical thinking | design patterns | Microservices | microsoft powerpoint | NoSQL | nosql | Object Oriented Programming | problem solving | Problem Solving | Python | python | React | REST API | Spring Boot | teamwork | typescript | Unit Testing | Version Control,Computer Science
Cybersecurity Analyst,Access Control | adaptability | analytical thinking | attention to detail | Communication | communication skills | critical thinking | Critical Thinking | customer service | Customer Service | Firewalls | Incident Response | leadership | Leadership | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | Penetration Testing | Problem Solving | Project Coordination | project coordination | Security Audit | SIEM | teamwork | Teamwork | time management | Time Management | Vulnerability Assessment,Information Technology
Mechanical Engineer,3D Modelling | adaptability | AutoCAD | Communication | Critical Thinking | Customer Service | Electrical Design | Leadership | Manufacturing Process | Mechanical Design | Microsoft PowerPoint | Microsoft Word | PLC | Preventive Maintenance | Problem Solving | Project Coordination | Project Management | Quality Control | Root Cause Analysis | Safety Compliance | Simulation | SolidWorks | Technical Documentation | Time Management | Troubleshooting,Mechanical Engineering
Chemical Engineer,attention to detail | Communication | Critical Thinking | Electrical Design | Laboratory Testing | Leadership | Mechanical Design | mechanical design | Microsoft PowerPoint | P&ID | Plant Operation | PLC | Preventive Maintenance | Problem Solving | Process Control | Process Design | Project Management | Quality Control | quality control | root cause analysis | Root Cause Analysis | simulation software,Chemical Engineering
Cybersecurity Analyst,Communication | communication skills | critical thinking | Critical Thinking | Customer Service | Firewalls | Leadership | Microsoft PowerPoint | microsoft word | Microsoft Word | Presentation Skills | Problem Solving | Project Coordination | Security Audit | Security Policies | SIEM | Teamwork | Time Management | Vulnerability Assessment,Cybersecurity
Cybersecurity Analyst,adaptability | analytical thinking | attention to detail | Communication | communication skills | critical thinking | Critical Thinking | customer service | Customer Service | leadership | Malware Analysis | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | Penetration Testing | presentation skills | problem solving | Problem Solving | project coordination | Security Policies | teamwork | Teamwork | time management | Time Management | Vulnerability Assessment,Information Technology
Business Analyst,adaptability | Business Process Modelling | Communication | communication skills | Critical Thinking | customer service | Customer Service | Documentation | Leadership | Microsoft PowerPoint | microsoft word | Microsoft Word | multitasking | presentation skills | Presentation Skills | Problem Solving | Process Improvement | Project Coordination | project coordination | Teamwork | Time Management | Use Case,Information Systems
Civil Engineer,3d modelling | AutoCAD | Communication | communication skills | Concrete | Customer Service | Drawing Review | electrical design | Leadership | Mechanical Design | Microsoft PowerPoint | Microsoft Word | PLC | problem solving | Project Coordination | Project Management | quality control | root cause analysis | Root Cause Analysis | Safety Compliance | Site Supervision | SolidWorks | Technical Documentation | Tendering | Time Management,Civil Engineering
Cybersecurity Analyst,Access Control | adaptability | attention to detail | Communication | communication skills | critical thinking | Customer Service | Incident Response | leadership | Leadership | Malware Analysis | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | Network Security | presentation skills | Project Coordination | project coordination | Security Audit | teamwork | Teamwork | time management | Time Management,Information Technology
Supply Chain Executive,a/b testing | Classification | classification models | Clustering | critical thinking | Data Cleaning | data warehousing | Delivery Coordination | Demand Forecasting | ERP | ETL | hypothesis testing | Inventory Management | leadership | Order Processing | Power BI | Problem Solving | Project Coordination | pytorch | PyTorch | R | Shipping | Spark | Supply Planning | Tableau | teamwork | Time Series Analysis | Warehouse Management,Supply Chain Management
Data Analyst,a/b testing | A/B Testing | Business Intelligence | Classification | Clustering | Critical Thinking | data visualization | Data Visualization | Data Warehousing | deep learning | Descriptive Statistics | ETL | excel | Excel | Leadership | Microsoft PowerPoint | microsoft powerpoint | Microsoft Word | Pandas | Pivot Table | power bi | Power BI | Problem Solving | Project Coordination | Python | R | Reporting | SQL | tableau | Time Management,Computer Science
Pharmacist,Communication | Counselling | Critical Thinking | Customer Service | Drug Information | Electronic Medical Records | Emergency Response | Leadership | Medical Terminology | Medication Administration | Medication Counselling | Microsoft PowerPoint | OTC Recommendation | Patient Care | Phlebotomy | Prescription Review | Presentation Skills | Teamwork | Vital Signs Monitoring,Pharmacy
Chemical Engineer,3D Modelling | analytical thinking | AutoCAD | communication skills | Customer Service | Electrical Design | Laboratory Testing | Mechanical Design | Microsoft PowerPoint | Microsoft Word | P&ID | Preventive Maintenance | Process Control | Project Management | Quality Control | Root Cause Analysis | Safety Compliance | Safety Management | Simulation | SolidWorks | teamwork | technical documentation | Technical Documentation | Time Management,Chemical Engineering
DevOps Engineer,c++ | CI/CD | Cloud Deployment | code review | communication skills | debugging | Docker | Git | Infrastructure as Code | kubernetes | Linux | microservices | Microservices | Monitoring | mysql | PostgreSQL | postgresql | python | Scrum | Shell Scripting | SQL | Teamwork | typescript | TypeScript | version control,Software Engineering
Data Scientist,adaptability | attention to detail | Communication | communication skills | Critical Thinking | customer service | Customer Service | Jupyter Notebook | Leadership | Machine Learning | Microsoft PowerPoint | Microsoft Word | presentation skills | Presentation Skills | Problem Solving | Project Coordination | Scikit-Learn | Statistics | teamwork | Teamwork | Time Management,Computer Science
Graphic Designer,Adobe Illustrator | Adobe Photoshop | Adobe XD | Branding | Customer Service | Design Systems | Illustrator | Interaction Design | Layout Design | Leadership | Microsoft PowerPoint | Microsoft Word | Presentation Skills | Prototyping | Responsive Design | Social Media Design | Typography | UI Design | Usability Testing | User Research | Wireframing,Graphic Design
Graphic Designer,Adobe InDesign | Adobe Photoshop | Adobe XD | Communication | Creative Thinking | Critical Thinking | Customer Service | Design Systems | Figma | Leadership | Logo Design | Microsoft Word | Presentation Skills | Print Design | Problem Solving | Project Coordination | Prototyping | Responsive Design | Time Management | Typography | UI Design | Usability Testing | User Research | Visual Design,Graphic Design
DevOps Engineer,Agile | Ansible | attention to detail | Automation | Customer Service | design patterns | Docker | docker | Git | javascript | Jenkins | Kubernetes | Leadership | microsoft powerpoint | Microsoft Word | mysql | NoSQL | Presentation Skills | Problem Solving | Project Coordination | React | time management | typescript | TypeScript,Software Engineering
Mechanical Engineer,3D Modelling | adaptability | AutoCAD | critical thinking | customer service | electrical design | Manufacturing Process | manufacturing processes | Mechanical Design | Presentation Skills | Problem Solving | Project Coordination | project coordination | Project Management | Quality Control | Root Cause Analysis | simulation software | solidworks | SolidWorks | teamwork | time management | Troubleshooting,Mechatronics
Business Analyst,adaptability | analytical thinking | attention to detail | Business Process Modelling | communication skills | critical thinking | customer service | Customer Service | Data Analysis | Documentation | leadership | Leadership | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | presentation skills | Presentation Skills | problem solving | Project Coordination | project coordination | teamwork | Teamwork | time management | Time Management | UML,Information Systems
Customer Support Executive,attention to detail | Call Handling | Communication | communication skills | critical thinking | Critical Thinking | customer service | Customer Service | Email Support | Follow Up | leadership | Leadership | Live Chat | Microsoft PowerPoint | microsoft powerpoint | Microsoft Word | Presentation Skills | problem solving | Problem Solving | Project Coordination | project coordination | Service Recovery | teamwork | Teamwork | Time Management,Business Administration
Pharmacist,analytical thinking | Clinical Procedures | Communication | communication skills | Customer Service | Drug Information | Health Education | Infection Control | Inventory Management | leadership | Medication Administration | Medication Counselling | Microsoft Word | OTC Recommendation | Pharmacy Management | Prescription Review | presentation skills | Problem Solving | Time Management,Pharmacy
Data Scientist,attention to detail | Communication | Critical Thinking | Customer Service | Feature Engineering | Leadership | Machine Learning | Microsoft PowerPoint | microsoft powerpoint | Microsoft Word | multitasking | Natural Language Processing | Pandas | Presentation Skills | Problem Solving | Project Coordination | project coordination | Statistics | teamwork | Teamwork | Time Management,Statistics
Teacher / Lecturer,Assessment | Assessment Design | Classroom Management | Communication | Counselling | Curriculum Development | Customer Service | educational technology | Educational Technology | Leadership | Learning Materials Development | Lesson Planning | Mentoring | mentoring | Microsoft PowerPoint | Microsoft Word | multitasking | Online Teaching | Presentation Skills | Problem Solving | Project Coordination | project coordination | Record Keeping | Student Engagement | Teaching | teaching | Teaching Materials | Teamwork | Time Management,Information Systems
Electrical Engineer,3D Modelling | 3d modelling | attention to detail | Circuit Design | Control Systems | Critical Thinking | Customer Service | Electrical Design | Instrumentation | Leadership | microsoft word | PLC | Power Systems | Presentation Skills | preventive maintenance | Problem Solving | Project Coordination | project coordination | Project Management | project management | simulation software | solidworks | SolidWorks | technical documentation | Testing | Time Management | Troubleshooting | Wiring Diagram,Electronics Engineering
Electrical Engineer,3D Modelling | AutoCAD | Circuit Design | Commissioning | Communication | Customer Service | Instrumentation | Leadership | Maintenance | Mechanical Design | Microsoft PowerPoint | Power Systems | Presentation Skills | Problem Solving | Project Management | Quality Control | Safety Compliance | Simulation | Technical Documentation | Time Management | Wiring Diagram,Electrical Engineering
Civil Engineer,3D Modelling | adaptability | AutoCAD | Concrete | Construction Management | electrical design | Health and Safety | Leadership | PLC | plc programming | Presentation Skills | Project Coordination | Project Management | Site Supervision | solidworks | SolidWorks | Structural Design | Teamwork,Civil Engineering
Sales Executive,adaptability | analytical thinking | attention to detail | Closing Sales | Cold Calling | Communication | communication skills | critical thinking | Critical Thinking | customer service | Customer Service | leadership | Leadership | Microsoft PowerPoint | microsoft powerpoint | Microsoft Word | multitasking | presentation skills | Presentation Skills | problem solving | Problem Solving | Product Knowledge | Project Coordination | project coordination | Prospecting | teamwork | Teamwork | time management | Time Management,Business Administration
Data Analyst,adaptability | analytical thinking | clustering | Clustering | Communication | customer service | data cleaning | Data Cleaning | data visualization | Data Visualization | deep learning | Descriptive Statistics | excel | Excel | Leadership | machine learning | NumPy | pandas | Pandas | presentation skills | problem solving | Python | python | pytorch | Reporting | SQL | statistical modelling | statistics | Tableau | time management,Business Administration
Supply Chain Executive,a/b testing | A/B Testing | analytical thinking | Big Data | critical thinking | data cleaning | Data Cleaning | data visualization | Data Visualization | Delivery Coordination | etl | excel | Excel | Leadership | machine learning | microsoft powerpoint | Microsoft Word | pandas | Pandas | Presentation Skills | Procurement | python | r | regression analysis | Shipping | Spark | statistics | Tableau | Warehouse Management,Logistics
Nurse,analytical thinking | Clinical Procedures | Communication | Counselling | critical thinking | Critical Thinking | customer service | Electronic Medical Records | health education | Health Education | Infection Control | Leadership | medical terminology | Microsoft PowerPoint | microsoft word | Microsoft Word | Patient Care | presentation skills | Presentation Skills | problem solving | Project Coordination | project coordination | Teamwork | time management | Time Management | vital signs monitoring | Vital Signs Monitoring | wound care,Nursing
Graphic Designer,Adobe Photoshop | Adobe XD | Branding | Creative Thinking | Critical Thinking | Figma | Layout Design | Leadership | Microsoft Word | Presentation Skills | Print Design | Responsive Design | Social Media Design | Time Management | Typography | UI Design | Usability Testing | User Research | UX Design | Visual Design,Multimedia
Electrical Engineer,3D Modelling | autocad | AutoCAD | Commissioning | Communication | Control Systems | critical thinking | customer service | hvac design | Leadership | Maintenance | manufacturing processes | mechanical design | microsoft powerpoint | Power Systems | presentation skills | Problem Solving | Quality Control | quality control | Root Cause Analysis | Safety Compliance | Simulation | simulation software | SolidWorks | Technical Documentation | Testing | time management | Time Management | Troubleshooting | Wiring Diagram,Mechatronics
Sales Executive,Communication | critical thinking | Critical Thinking | Customer Service | Lead Generation | Leadership | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | Negotiation | Presentation Skills | problem solving | Problem Solving | Product Knowledge | Project Coordination | teamwork | Teamwork | time management | Time Management,Business Administration
Chemical Engineer,3d modelling | AutoCAD | Communication | critical thinking | Critical Thinking | Laboratory Testing | Leadership | Microsoft PowerPoint | microsoft powerpoint | Microsoft Word | multitasking | PLC | presentation skills | Problem Solving | Root Cause Analysis | safety compliance | Safety Management | Technical Documentation | Troubleshooting,Chemical Engineering
Civil Engineer,analytical thinking | AutoCAD | Bill of Quantities | Concrete | Construction Management | Critical Thinking | critical thinking | Customer Service | electrical design | Health and Safety | Mechanical Design | mechanical design | microsoft word | Microsoft Word | Presentation Skills | preventive maintenance | Project Coordination | project coordination | quality control | Root Cause Analysis | Safety Compliance | Simulation | SolidWorks | Structural Design | technical documentation | Tendering,Civil Engineering
UI/UX Designer,adaptability | adobe photoshop | Adobe Photoshop | color theory | communication skills | customer service | Design System | design systems | Figma | illustrator | Illustrator | Information Architecture | Interaction Design | interaction design | Microsoft PowerPoint | microsoft powerpoint | multitasking | presentation skills | problem solving | Project Coordination | project coordination | Prototyping | prototyping | responsive design | teamwork | Teamwork | ui design | usability testing | User Research | Wireframing,Computer Science
Customer Support Executive,adaptability | analytical thinking | attention to detail | Communication | communication skills | critical thinking | Critical Thinking | customer service | Customer Service | Email Support | leadership | Leadership | Live Chat | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | project coordination | teamwork | Teamwork | time management | Time Management,Business Administration
Data Analyst,A/B Testing | Business Intelligence | Clustering | Communication | Customer Service | Dashboard | Data Interpretation | Deep Learning | Excel | Feature Engineering | Google Analytics | Leadership | Machine Learning | Pandas | Power BI | Presentation Skills | PyTorch | R | Reporting | SQL | Tableau | Time Series Analysis,Information Technology
Chemical Engineer,attention to detail | Critical Thinking | critical thinking | customer service | electrical design | hvac design | Laboratory Testing | leadership | manufacturing processes | Mechanical Design | multitasking | Plant Operation | presentation skills | Presentation Skills | Preventive Maintenance | problem solving | Process Control | Process Design | project coordination | project management | Quality Control | quality control | Root Cause Analysis | Safety Compliance | solidworks | time management | Troubleshooting,Chemical Engineering
Digital Marketing Specialist,Brand Management | brand management | Communication | communication skills | Content Marketing | critical thinking | Critical Thinking | CRM | Customer Service | Email Marketing | email marketing | Facebook Ads | Google Ads | Google Analytics | Influencer Marketing | Instagram Marketing | Leadership | Market Research | Marketing Analytics | Microsoft PowerPoint | Presentation Skills | problem solving | Problem Solving | Project Coordination | project coordination | SEO | Social Media Marketing | Teamwork | Time Management,Marketing
Digital Marketing Specialist,adaptability | adobe photoshop | Adobe Photoshop | Brand Awareness | brand management | Campaign Management | Canva | communication skills | Content Marketing | content marketing | conversion optimization | copywriting | Digital Marketing | digital marketing | Email Marketing | email marketing | facebook ads | Google Ads | google ads | Google Analytics | Influencer Marketing | Instagram Marketing | leadership | Microsoft PowerPoint | microsoft powerpoint | presentation skills | problem solving | public relations | SEO | tiktok marketing,Mass Communication
Civil Engineer,AutoCAD | Bill of Quantities | Communication | Concrete | Construction Management | Electrical Design | Leadership | Mechanical Design | Microsoft Word | PLC | Preventive Maintenance | Project Coordination | Quality Control | Root Cause Analysis | Simulation | Site Supervision | SolidWorks | Structural Design | Teamwork | Technical Documentation | Tendering | Time Management,Civil Engineering
DevOps Engineer,analytical thinking | attention to detail | Automation | AWS | Azure | c++ | CI/CD | communication skills | Docker | Infrastructure as Code | java | leadership | Leadership | Linux | Monitoring | multitasking | Node.js | PostgreSQL | postgresql | problem solving | python | react | Spring Boot | teamwork | typescript,Computer Science
UI/UX Designer,Adobe Photoshop | Adobe XD | critical thinking | Critical Thinking | Customer Service | Design System | Figma | figma | Illustrator | Information Architecture | microsoft powerpoint | Presentation Skills | problem solving | Project Coordination | project coordination | prototyping | Prototyping | Responsive Design | time management | UI Design | Usability Testing | usability testing | User Flow | User Research | Wireframing,Graphic Design
Supply Chain Executive,attention to detail | Clustering | Communication | Critical Thinking | data cleaning | data visualization | Data Visualization | Demand Forecasting | ERP | excel | Feature Engineering | Leadership | Logistics | machine learning | Machine Learning | Microsoft PowerPoint | Microsoft Word | Power BI | problem solving | Problem Solving | Python | R | r | Spark | statistical modelling | Statistics | Supply Planning | teamwork | Time Management | Vendor Management,Business Administration
Civil Engineer,3D Modelling | AutoCAD | Bill of Quantities | Communication | Construction Management | Customer Service | Electrical Design | Health and Safety | Leadership | Microsoft Word | PLC | Presentation Skills | Problem Solving | Project Management | Quality Control | Root Cause Analysis | Safety Compliance | Site Supervision | SolidWorks | Teamwork | Technical Documentation | Time Management,Civil Engineering
Cybersecurity Analyst,Access Control | analytical thinking | Communication | critical thinking | Critical Thinking | customer service | Customer Service | Incident Response | leadership | Leadership | Malware Analysis | microsoft powerpoint | Microsoft Word | Presentation Skills | problem solving | Problem Solving | Project Coordination | Risk Assessment | Security Audit | SIEM | Teamwork | Time Management,Cybersecurity
HR Specialist,Communication | Compensation & Benefits | compensation and benefits | Conflict Resolution | Critical Thinking | Customer Service | Employee Engagement | Employee Relations | HR Policies | HRIS | interviewing | Interviewing | Labour Law | leadership | Leadership | Microsoft PowerPoint | Microsoft Word | Onboarding | Payroll | Problem Solving | Project Coordination | project coordination | Recruitment | recruitment | Talent Acquisition | Teamwork | Time Management | Training & Development | training and development,Business Administration
Pharmacist,attention to detail | Clinical Procedures | clinical procedures | Counselling | critical thinking | Critical Thinking | customer service | Dispensing | Drug Information | Electronic Medical Records | electronic medical records | Health Education | Infection Control | infection control | leadership | Leadership | medical terminology | Medication Administration | Medication Counselling | microsoft powerpoint | microsoft word | OTC Recommendation | patient assessment | patient care | phlebotomy | Presentation Skills | Problem Solving | time management | Time Management | wound care,Pharmacy
Mechanical Engineer,adaptability | attention to detail | autocad | AutoCAD | Communication | customer service | electrical design | Electrical Design | hvac design | Leadership | Manufacturing Process | manufacturing processes | Mechanical Design | mechanical design | PLC | Project Coordination | project coordination | project management | Quality Control | Root Cause Analysis | Simulation | simulation software | Teamwork | Technical Documentation | Technical Drawing | Time Management,Mechanical Engineering
Customer Support Executive,adaptability | analytical thinking | attention to detail | Call Handling | Communication | communication skills | Complaint Handling | critical thinking | Critical Thinking | customer service | Customer Service | Email Support | leadership | Leadership | Live Chat | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | project coordination | teamwork | Teamwork | time management | Time Management,Business Administration
Web Developer,adaptability | Angular | Bootstrap | c# | C++ | cloud deployment | code review | Communication | Critical Thinking | CSS | customer service | debugging | Express.js | HTML | javascript | microsoft word | multitasking | nosql | object oriented programming | Problem Solving | python | Responsive Design | Scrum | Spring Boot | unit testing,Graphic Design
Business Analyst,Accounting | analytical thinking | Business Process Modelling | Cash Flow Management | Communication | Costing | Customer Service | Data Analysis | Financial Analysis | Financial Reporting | Forecasting | Functional Specification | leadership | Microsoft PowerPoint | Microsoft Word | Oracle Finance | presentation skills | Problem Solving | Requirements Gathering | SAP | Stakeholder Management | Teamwork | Time Management,Finance
Project Manager,adaptability | Agile | analytical thinking | attention to detail | Budgeting | Communication | communication skills | critical thinking | Critical Thinking | customer service | Customer Service | leadership | Leadership | microsoft powerpoint | Microsoft Project | microsoft word | multitasking | presentation skills | Presentation Skills | problem solving | Project Coordination | project coordination | Reporting | Scrum | teamwork | Teamwork | time management | Time Management,Information Technology
Project Manager,adaptability | Agile | attention to detail | Budgeting | Communication | communication skills | critical thinking | Critical Thinking | customer service | Customer Service | leadership | Leadership | Microsoft PowerPoint | microsoft powerpoint | Microsoft Project | microsoft word | Microsoft Word | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | project coordination | Project Planning | Risk Management | Stakeholder Management | Team Management | Teamwork | time management | Time Management,Information Technology
Business Analyst,Business Process Modelling | Communication | communication skills | critical thinking | Customer Service | Data Analysis | Functional Specification | leadership | Leadership | Microsoft PowerPoint | microsoft powerpoint | Microsoft Word | presentation skills | Presentation Skills | problem solving | Process Improvement | Project Coordination | project coordination | Stakeholder Management | teamwork | time management | Time Management | Use Case | User Stories,Business Administration
Mobile App Developer,Agile | Android | Android Studio | App Store Deployment | CI/CD | Communication | Customer Service | Dart | Debugging | design patterns | Docker | Express.js | git | Java | Microservices | microsoft word | Microsoft Word | MongoDB | mongodb | MySQL | Presentation Skills | Project Coordination | Python | rest api | REST API | Scrum | Time Management | Xcode,Computer Science
Web Developer,Angular | api integration | attention to detail | C# | Cloud Deployment | Code Review | critical thinking | Cross Browser Testing | CSS | Express.js | Java | JavaScript | Microsoft PowerPoint | Microsoft Word | Node.js | Python | Responsive Design | REST API | SQL | sql | Time Management,Information Technology
